"scientificName","decimalLatitude","decimalLongitude","genericName"
"Felis catus Linnaeus, 1758",51.8,5.9,"Felis"
"Myodes glareolus (Schreber, 1780)",51.8,4.4,"Myodes"
"Oryctolagus cuniculus (Linnaeus, 1758)",51.6,3.7,"Oryctolagus"
"Capreolus capreolus (Linnaeus, 1758)",51.7,4.35,"Capreolus"
"Lutra lutra (Linnaeus, 1758)",53.2,5.85,"Lutra"
"Talpa europaea Linnaeus, 1758",53.2,6.15,"Talpa"
"Cervus elaphus Linnaeus, 1758",52.45,5.4,"Cervus"
"Vulpes vulpes (Linnaeus, 1758)",51.95,5.85,"Vulpes"
"Lepus europaeus Pallas, 1778",51.9,4.7,"Lepus"
"Ovis orientalis musimon",52.05,5.85,"Ovis"
"Lepus europaeus Pallas, 1778",52.6,5,"Lepus"
"Phoca vitulina Linnaeus, 1758",52.45,4.5,"Phoca"
"Halichoerus grypus (Fabricius, 1791)",53.3,5.15,"Halichoerus"
"Lepus europaeus Pallas, 1778",52.6,6.05,"Lepus"
"Vulpes vulpes (Linnaeus, 1758)",51.3,4.15,"Vulpes"
"Capreolus capreolus (Linnaeus, 1758)",51.75,4.8,"Capreolus"
"Capreolus capreolus (Linnaeus, 1758)",52.1,5.35,"Capreolus"
"Talpa europaea Linnaeus, 1758",51.9,6.45,"Talpa"
"Capreolus capreolus (Linnaeus, 1758)",53.2,7.15,"Capreolus"
"Crocidura russula (Hermann, 1780)",52.85,6.35,"Crocidura"
"Lepus europaeus Pallas, 1778",52.1,6.3,"Lepus"
"Capreolus capreolus (Linnaeus, 1758)",52.4,5.35,"Capreolus"
"Sciurus vulgaris Linnaeus, 1758",51.5,4.6,"Sciurus"
"Capreolus capreolus (Linnaeus, 1758)",51.75,4.75,"Capreolus"
"Dama dama (Linnaeus, 1758)",52.3,4.55,"Dama"
"Capreolus capreolus (Linnaeus, 1758)",55.34952,11.83241,"Capreolus"
"Sciurus vulgaris Linnaeus, 1758",55.51531,9.6854,"Sciurus"
"Sciurus vulgaris Linnaeus, 1758",55.7743,12.35274,"Sciurus"
"Capreolus capreolus (Linnaeus, 1758)",55.87815,9.87592,"Capreolus"
"Dama dama (Linnaeus, 1758)",55.51064,9.5822,"Dama"
"Cervus elaphus Linnaeus, 1758",54.82155,9.25371,"Cervus"
